,x,y
0,125,74
1,126,74
2,127,74
3,128,74
4,129,74
5,130,74
6,131,74
7,132,74
8,133,74
9,134,74
10,135,74
11,136,74
12,137,75
13,138,75
14,139,75
15,140,75
16,141,76
17,142,76
18,143,77
19,144,77
20,145,77
21,146,78
22,147,79
23,148,79
24,149,80
25,150,81
26,151,82
27,152,83
28,153,84
29,153,85
30,154,86
31,154,87
32,155,88
33,155,89
34,156,90
35,156,91
36,156,92
37,156,93
38,156,94
39,156,95
40,156,96
41,155,97
42,155,98
43,155,99
44,154,100
45,153,101
46,153,102
47,152,103
48,151,104
49,150,105
50,149,106
51,148,107
52,147,107
53,146,108
54,145,108
55,144,109
56,143,109
57,142,110
58,141,110
59,140,111
60,139,111
61,138,111
62,137,111
63,136,111
64,135,112
65,134,112
66,133,112
67,132,112
68,131,112
69,130,112
70,129,112
71,128,112
72,127,112
73,126,112
74,125,112
75,124,111
76,123,111
77,122,111
78,121,111
79,120,110
80,119,110
81,118,110
82,117,109
83,116,109
84,115,108
85,114,108
86,113,107
87,112,107
88,111,106
89,110,105
90,109,104
91,108,103
92,107,102
93,106,101
94,106,100
95,105,99
96,105,98
97,105,97
98,104,96
99,104,95
100,104,94
101,104,93
102,104,92
103,104,91
104,104,90
105,105,89
106,105,88
107,105,87
108,106,86
109,106,85
110,107,84
111,108,83
112,109,82
113,110,81
114,111,80
115,112,79
116,113,79
117,114,78
118,115,78
119,116,77
120,117,77
121,118,76
122,119,76
123,120,75
124,121,75
125,122,75
126,123,75
127,124,75
128,124,75
